TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.3, 32) AVG: 0.7307105287874518 VAR: 0.001319928422904344 F1: 0.725906232453037 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.5, 32) AVG: 0.736005447543909 VAR: 0.00030696692608498717 F1: 0.7320949512782747 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.7, 32) AVG: 0.7320606743683666 VAR: 0.0004569282426533661 F1: 0.7286316451750797 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.3, 32) AVG: 0.7313875583106353 VAR: 0.0004126931018730324 F1: 0.7277776686972072 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.5, 32) AVG: 0.7359897936821014 VAR: 0.0008600672252916892 F1: 0.7338267210227685 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.7, 32) AVG: 0.7419147803763187 VAR: 0.0008139732772499195 F1: 0.7398833029475526 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.3, 32) AVG: 0.7268048902664286 VAR: 0.0005885920161760468 F1: 0.7215415547912594 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.5, 32) AVG: 0.72940734479196 VAR: 0.0008590483961390181 F1: 0.7281351901938652 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 512, 0.7, 32) AVG: 0.738631382862152 VAR: 0.0007646843616046451 F1: 0.7353596127344848 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.3, 32) AVG: 0.7156162925393694 VAR: 0.0010890920671543843 F1: 0.7088932798732864 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.5, 32) AVG: 0.7366511693434771 VAR: 0.0010383612549444753 F1: 0.7315053358573973 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.7, 32) AVG: 0.7419421746344823 VAR: 0.0006214271564990316 F1: 0.7382538477446298 SEED: 7616
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.3, 32) AVG: 0.7149236091543784 VAR: 0.0015248280692019508 F1: 0.7033847505982149 SEED: 7616
