TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.3, 32) AVG: 0.7497964997964998 VAR: 0.0005489979971927457 F1: 0.7481839405511818 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.3, 32) AVG: 0.7517962806424345 VAR: 0.0005083381007259878 F1: 0.7501907219921934 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.3, 32) AVG: 0.7438754265677342 VAR: 0.0007500920277602294 F1: 0.7417616283828095 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.5, 32) AVG: 0.7465404965404964 VAR: 0.0002411232772409507 F1: 0.7453389349114845 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.5, 32) AVG: 0.7531112050342819 VAR: 0.000669725821176934 F1: 0.7510891031361894 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.5, 32) AVG: 0.7583943833943835 VAR: 0.0005502135042959104 F1: 0.7562026952167564 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.7, 32) AVG: 0.7478632478632479 VAR: 0.0002800198108464793 F1: 0.746731082898441 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.7, 32) AVG: 0.7478867286559594 VAR: 0.00044740288538650035 F1: 0.7453392056652404 SEED: 14212
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.7, 32) AVG: 0.741961741961742 VAR: 0.0008362142729323329 F1: 0.7395978940218444 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.3, 32) AVG: 0.7557684480761405 VAR: 0.00043841696051118265 F1: 0.7543788764391288 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.3, 32) AVG: 0.7656225540840925 VAR: 0.000717069245461739 F1: 0.7640754439123976 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.3, 32) AVG: 0.761039886039886 VAR: 0.00045471764497588573 F1: 0.7594033321758729 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.5, 32) AVG: 0.7603785103785105 VAR: 0.0006276891484263002 F1: 0.7591772411481428 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.5, 32) AVG: 0.7643193700886007 VAR: 0.000475017161883332 F1: 0.7627643981893363 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.5, 32) AVG: 0.7649650918881687 VAR: 0.00020855618375564965 F1: 0.7638884970218623 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.7505126639742025 VAR: 0.000477775554058027 F1: 0.749350542118969 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7531151184997339 VAR: 0.0004515247908716154 F1: 0.7518238835992332 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7570638051407282 VAR: 0.0003660818978664627 F1: 0.7554732970515128 SEED: 14212
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.3, 32) AVG: 0.747213612598228 VAR: 0.0009821694057562838 F1: 0.7442765315224622 SEED: 14212
