,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
/home/lucas/Lux/res/readability/input_texts/443.txt,12.125854341736694,15.263062558356673,12.380783252100844,55.2266619981326,15.731839402427637,57.53688141923436,13.110500592068734,8.222222222222221,11.803746685340803,4.983193277310924,1.4747899159663866,26.444444444444443,1.0,0.4635854341736695,3558,1053,714,331,27,27,222,92,310,22,4,0,0,2,28,0,2,0
/home/lucas/Lux/res/readability/input_texts/444.txt,2.645454545454548,3.3381818181818197,5.563379181818185,95.68818181818182,8.036363636363637,20.090909090909093,8.477225575051662,1.0,5.617554545454546,4.090909090909091,1.1818181818181819,11.0,1.0,1.0,45,13,11,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0
/home/lucas/Lux/res/readability/input_texts/445.txt,125.06093371847919,160.99695800829144,6.840800934030764,-216.58294374348162,133.3386028653731,340.1386064686088,24.99650321860622,38.43589743589744,25.32626472392208,3.8660316964634243,1.0644859083456943,328.43589743589746,1.0,0.1785463346084784,49520,13635,12809,2287,39,39,1499,629,4380,428,174,1,0,1,149,2,1,1
/home/lucas/Lux/res/readability/input_texts/446.txt,17.873798449612405,21.83093023255814,10.676942945736435,43.503953488372105,20.920930232558142,65.48062015503876,13.954451150103322,9.666666666666666,12.440268992248063,4.62015503875969,1.4147286821705427,43.0,1.0,0.6821705426356589,1192,365,258,176,6,6,58,24,109,11,2,0,1,0,11,0,1,0
/home/lucas/Lux/res/readability/input_texts/447.txt,2.3485690680766673,4.049376074025112,5.576917166292141,101.5360591539987,6.853271645736946,25.897224058162593,6.985266984930429,1.6764705882352942,7.585609054857898,4.020224719101123,1.0876404494382022,13.088235294117647,0.9714285714285714,0.42921348314606744,1789,484,445,191,34,35,57,18,93,5,4,7,9,4,0,0,3,1
/home/lucas/Lux/res/readability/input_texts/448.txt,15.502021276595745,19.53873758865248,10.140801689361705,53.680833333333354,19.581560283687942,62.5709219858156,13.723805294763608,9.166666666666666,11.088868794326242,4.540425531914893,1.3404255319148937,39.166666666666664,1.0,0.6382978723404256,1067,315,235,150,6,6,55,23,82,14,2,0,0,0,3,0,2,0
/home/lucas/Lux/res/readability/input_texts/449.txt,16.491973684210524,19.863009868421052,14.849780202302632,33.81881578947371,20.3,63.578947368421055,16.41640786499874,10.105263157894736,12.469440131578947,5.370065789473684,1.6611842105263157,32.0,1.0,0.5575657894736842,3265,1010,608,339,19,19,192,114,279,22,1,0,2,1,21,0,5,0
/home/lucas/Lux/res/readability/input_texts/450.txt,13.22850334448161,15.507731326644368,13.571239792642146,44.60010172798217,16.65562987736901,59.69927536231884,14.180339887498949,8.666666666666666,10.998252954292084,5.197324414715719,1.6187290969899666,24.916666666666668,1.0,0.6086956521739131,1554,484,299,182,12,12,104,50,116,11,6,0,0,0,11,0,4,0
/home/lucas/Lux/res/readability/input_texts/451.txt,23.342028985507245,27.40673913043478,15.809959528985512,9.642826086956546,27.240579710144928,82.23188405797102,20.46424919657298,16.666666666666668,13.412628985507247,5.4855072463768115,1.7789855072463767,46.0,1.0,0.6485507246376812,1514,491,276,179,6,6,100,61,131,7,1,0,0,0,7,0,1,0
/home/lucas/Lux/res/readability/input_texts/452.txt,6.799135802469138,8.125370370370373,8.216289438271609,78.37611111111113,9.91604938271605,35.28395061728395,9.055300708194984,3.111111111111111,8.330596296296296,4.364197530864198,1.3024691358024691,18.0,1.0,0.6234567901234568,707,211,162,101,9,9,28,11,39,3,0,0,0,0,1,0,0,0
