v4
complexity = False
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7733333333333333 F1: 0.7594278918128736
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7688888888888888 F1: 0.7528502076675367
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7377777777777778 F1: 0.7107447367148481
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7244444444444444 F1: 0.6979341027851208
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7577777777777778 F1: 0.7403906790309378
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.751111111111111 F1: 0.7353575694757138
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.788888888888889 F1: 0.7765874176997161
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7644444444444445 F1: 0.7448059110873411
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7711111111111111 F1: 0.7573002856893659
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7577777777777777 F1: 0.7339971570648773

TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7257142857142856 F1: 0.7184721719268578
TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7352380952380952 F1: 0.7242181435039728
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7358730158730159 F1: 0.7292529498036563
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.733968253968254 F1: 0.721434748285141
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7276190476190476 F1: 0.7206335654263305
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7358730158730158 F1: 0.7283293213976776
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7193650793650793 F1: 0.71006106109277
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7142857142857142 F1: 0.7020224842768807

TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7301587301587301 F1: 0.7273542592821574
TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.726984126984127 F1: 0.7162451369226366
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7180952380952381 F1: 0.7114964438932484
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7180952380952382 F1: 0.7078476124031301
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7326984126984126 F1: 0.7235573127575914
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7276190476190476 F1: 0.7237472118146121
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7339682539682539 F1: 0.7266689588642595
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7187301587301587 F1: 0.7095777482739412


V4+EM+T1 rerun...
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7473015873015874 F1: 0.7408296438221413
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7288888888888889 F1: 0.7226876314657988
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7390476190476192 F1: 0.7308142305229396
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.746031746031746 F1: 0.738032740923728
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7358730158730159 F1: 0.7238440474123913
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7295238095238095 F1: 0.7204998444818129
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7390476190476191 F1: 0.7257004125767597
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7453968253968254 F1: 0.7352850133197993
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7390476190476191 F1: 0.7287177151637468
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7269841269841271 F1: 0.7185001700866387
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7276190476190476 F1: 0.720134929456842
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7428571428571429 F1: 0.7368079999535349

-- 0.5/0,5
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7339682539682539 F1: 0.7282527966772143
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7466666666666666 F1: 0.7400528542364165
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7288888888888889 F1: 0.7243888842815844
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7447619047619047 F1: 0.7395632193586006
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7295238095238095 F1: 0.7246302252645334
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7447619047619047 F1: 0.7401970048722631
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7346031746031745 F1: 0.7306457981176353
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7225396825396825 F1: 0.7180948929379778

-- drop 0.7

TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7358730158730158 F1: 0.7329550753743186
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7371428571428571 F1: 0.7327342572253872
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7384126984126983 F1: 0.7342029743263643
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7358730158730158 F1: 0.7327535387246598


TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7453968253968255 F1: 0.7387089045126236
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7326984126984126 F1: 0.7308347769137229
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7371428571428572 F1: 0.7331279651405633
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.746031746031746 F1: 0.7417375869973942

TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7161904761904763 F1: 0.7094065353269638
TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7314285714285713 F1: 0.7255205799393576
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7073015873015872 F1: 0.6999385563678074
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.6977777777777777 F1: 0.6895694670913928
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7022222222222221 F1: 0.6949297025928608
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.686984126984127 F1: 0.6752585922250526
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.6895238095238095 F1: 0.681092438663525
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.6653968253968254 F1: 0.6460394845815014

TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7104761904761905 F1: 0.7075842025459282
TrainsetLen:(1231, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.6996825396825398 F1: 0.6901170463453319
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7034920634920635 F1: 0.6940572244770602
TrainsetLen:(1231, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7085714285714285 F1: 0.7010633317343636
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.6863492063492064 F1: 0.6765760594860062
TrainsetLen:(1231, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.6901587301587302 F1: 0.6835725915415587
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.6863492063492063 F1: 0.6774271808058132
TrainsetLen:(1231, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.6958730158730158 F1: 0.6915773424091952
